
****** xsim v2026.1 (64-bit)
  **** SW Build 6511674 on Tue Jun 16 11:02:23 MDT 2026
  **** IP Build 6504888 on Tue Jun 09 09:05:25 MDT 2026
  **** SharedData Build 6501428 on Mon Jun 08 17:34:18 MDT 2026
  **** Start of session at: Wed Aug 26 09:31:16 2026
    ** Copyright 1986-2022 Xilinx, Inc. All Rights Reserved.
    ** Copyright 2022-2026 Advanced Micro Devices, Inc. All Rights Reserved.

source xsim.dir/e2r_cdc_ar_xsim/xsim_script.tcl
# xsim {e2r_cdc_ar_xsim} -autoloadwcfg -runall
Time resolution is 1 ps
run -all
E2R-CDC-AR-XSIM-00 F1f START m_period=80ns s_period=10ns window=50
T=5000 m_clk=0 s_clk=1 m_rst_n=0 s_rst_n=0 | m_arv=0 m_arr=0 ar_wr_en=0 ar_full=0 | ar_empty=1 s_arv=0 s_arr=1 ar_rd_en=0 | dbg_ne=0 dbg_hold=0
T=205000 m_clk=1 s_clk=1 m_rst_n=0 s_rst_n=0 | m_arv=0 m_arr=0 ar_wr_en=0 ar_full=0 | ar_empty=1 s_arv=0 s_arr=1 ar_rd_en=0 | dbg_ne=0 dbg_hold=0
T=215000 m_clk=1 s_clk=1 m_rst_n=0 s_rst_n=0 | m_arv=0 m_arr=0 ar_wr_en=0 ar_full=0 | ar_empty=1 s_arv=0 s_arr=1 ar_rd_en=0 | dbg_ne=0 dbg_hold=0
T=225000 m_clk=1 s_clk=1 m_rst_n=0 s_rst_n=0 | m_arv=0 m_arr=0 ar_wr_en=0 ar_full=0 | ar_empty=1 s_arv=0 s_arr=1 ar_rd_en=0 | dbg_ne=0 dbg_hold=0
T=235000 m_clk=1 s_clk=1 m_rst_n=0 s_rst_n=0 | m_arv=0 m_arr=0 ar_wr_en=0 ar_full=0 | ar_empty=1 s_arv=0 s_arr=1 ar_rd_en=0 | dbg_ne=0 dbg_hold=0
T=245000 m_clk=0 s_clk=1 m_rst_n=0 s_rst_n=0 | m_arv=0 m_arr=0 ar_wr_en=0 ar_full=0 | ar_empty=1 s_arv=0 s_arr=1 ar_rd_en=0 | dbg_ne=0 dbg_hold=0
T=255000 m_clk=0 s_clk=1 m_rst_n=0 s_rst_n=0 | m_arv=0 m_arr=0 ar_wr_en=0 ar_full=0 | ar_empty=1 s_arv=0 s_arr=1 ar_rd_en=0 | dbg_ne=0 dbg_hold=0
T=265000 m_clk=0 s_clk=1 m_rst_n=0 s_rst_n=0 | m_arv=0 m_arr=0 ar_wr_en=0 ar_full=0 | ar_empty=1 s_arv=0 s_arr=1 ar_rd_en=0 | dbg_ne=0 dbg_hold=0
T=275000 m_clk=0 s_clk=1 m_rst_n=0 s_rst_n=0 | m_arv=0 m_arr=0 ar_wr_en=0 ar_full=0 | ar_empty=1 s_arv=0 s_arr=1 ar_rd_en=0 | dbg_ne=0 dbg_hold=0
T=280000 m_clk=1 s_clk=0 m_rst_n=0 s_rst_n=0 | m_arv=0 m_arr=0 ar_wr_en=0 ar_full=0 | ar_empty=1 s_arv=0 s_arr=1 ar_rd_en=0 | dbg_ne=0 dbg_hold=0
T=285000 m_clk=1 s_clk=1 m_rst_n=0 s_rst_n=0 | m_arv=0 m_arr=0 ar_wr_en=0 ar_full=0 | ar_empty=1 s_arv=0 s_arr=1 ar_rd_en=0 | dbg_ne=0 dbg_hold=0
T=295000 m_clk=1 s_clk=1 m_rst_n=0 s_rst_n=0 | m_arv=0 m_arr=0 ar_wr_en=0 ar_full=0 | ar_empty=1 s_arv=0 s_arr=1 ar_rd_en=0 | dbg_ne=0 dbg_hold=0
T=305000 m_clk=1 s_clk=1 m_rst_n=0 s_rst_n=0 | m_arv=0 m_arr=0 ar_wr_en=0 ar_full=0 | ar_empty=1 s_arv=0 s_arr=1 ar_rd_en=0 | dbg_ne=0 dbg_hold=0
T=315000 m_clk=1 s_clk=1 m_rst_n=0 s_rst_n=0 | m_arv=0 m_arr=0 ar_wr_en=0 ar_full=0 | ar_empty=1 s_arv=0 s_arr=1 ar_rd_en=0 | dbg_ne=0 dbg_hold=0
T=325000 m_clk=0 s_clk=1 m_rst_n=0 s_rst_n=0 | m_arv=0 m_arr=0 ar_wr_en=0 ar_full=0 | ar_empty=1 s_arv=0 s_arr=1 ar_rd_en=0 | dbg_ne=0 dbg_hold=0
T=335000 m_clk=0 s_clk=1 m_rst_n=0 s_rst_n=0 | m_arv=0 m_arr=0 ar_wr_en=0 ar_full=0 | ar_empty=1 s_arv=0 s_arr=1 ar_rd_en=0 | dbg_ne=0 dbg_hold=0
T=345000 m_clk=0 s_clk=1 m_rst_n=0 s_rst_n=0 | m_arv=0 m_arr=0 ar_wr_en=0 ar_full=0 | ar_empty=1 s_arv=0 s_arr=1 ar_rd_en=0 | dbg_ne=0 dbg_hold=0
T=355000 m_clk=0 s_clk=1 m_rst_n=0 s_rst_n=0 | m_arv=0 m_arr=0 ar_wr_en=0 ar_full=0 | ar_empty=1 s_arv=0 s_arr=1 ar_rd_en=0 | dbg_ne=0 dbg_hold=0
T=360000 m_clk=1 s_clk=0 m_rst_n=0 s_rst_n=0 | m_arv=0 m_arr=0 ar_wr_en=0 ar_full=0 | ar_empty=1 s_arv=0 s_arr=1 ar_rd_en=0 | dbg_ne=0 dbg_hold=0
T=365000 m_clk=1 s_clk=1 m_rst_n=0 s_rst_n=0 | m_arv=0 m_arr=0 ar_wr_en=0 ar_full=0 | ar_empty=1 s_arv=0 s_arr=1 ar_rd_en=0 | dbg_ne=0 dbg_hold=0
T=375000 m_clk=1 s_clk=1 m_rst_n=0 s_rst_n=0 | m_arv=0 m_arr=0 ar_wr_en=0 ar_full=0 | ar_empty=1 s_arv=0 s_arr=1 ar_rd_en=0 | dbg_ne=0 dbg_hold=0
T=385000 m_clk=1 s_clk=1 m_rst_n=0 s_rst_n=0 | m_arv=0 m_arr=0 ar_wr_en=0 ar_full=0 | ar_empty=1 s_arv=0 s_arr=1 ar_rd_en=0 | dbg_ne=0 dbg_hold=0
T=395000 m_clk=1 s_clk=1 m_rst_n=0 s_rst_n=0 | m_arv=0 m_arr=0 ar_wr_en=0 ar_full=0 | ar_empty=1 s_arv=0 s_arr=1 ar_rd_en=0 | dbg_ne=0 dbg_hold=0
T=405000 m_clk=0 s_clk=1 m_rst_n=0 s_rst_n=0 | m_arv=0 m_arr=0 ar_wr_en=0 ar_full=0 | ar_empty=1 s_arv=0 s_arr=1 ar_rd_en=0 | dbg_ne=0 dbg_hold=0
T=415000 m_clk=0 s_clk=1 m_rst_n=0 s_rst_n=0 | m_arv=0 m_arr=0 ar_wr_en=0 ar_full=0 | ar_empty=1 s_arv=0 s_arr=1 ar_rd_en=0 | dbg_ne=0 dbg_hold=0
T=425000 m_clk=0 s_clk=1 m_rst_n=0 s_rst_n=0 | m_arv=0 m_arr=0 ar_wr_en=0 ar_full=0 | ar_empty=1 s_arv=0 s_arr=1 ar_rd_en=0 | dbg_ne=0 dbg_hold=0
T=435000 m_clk=0 s_clk=1 m_rst_n=0 s_rst_n=0 | m_arv=0 m_arr=0 ar_wr_en=0 ar_full=0 | ar_empty=1 s_arv=0 s_arr=1 ar_rd_en=0 | dbg_ne=0 dbg_hold=0
T=440000 m_clk=1 s_clk=0 m_rst_n=0 s_rst_n=0 | m_arv=0 m_arr=0 ar_wr_en=0 ar_full=0 | ar_empty=1 s_arv=0 s_arr=1 ar_rd_en=0 | dbg_ne=0 dbg_hold=0
T=445000 m_clk=1 s_clk=1 m_rst_n=0 s_rst_n=0 | m_arv=0 m_arr=0 ar_wr_en=0 ar_full=0 | ar_empty=1 s_arv=0 s_arr=1 ar_rd_en=0 | dbg_ne=0 dbg_hold=0
T=455000 m_clk=1 s_clk=1 m_rst_n=0 s_rst_n=0 | m_arv=0 m_arr=0 ar_wr_en=0 ar_full=0 | ar_empty=1 s_arv=0 s_arr=1 ar_rd_en=0 | dbg_ne=0 dbg_hold=0
T=465000 m_clk=1 s_clk=1 m_rst_n=0 s_rst_n=0 | m_arv=0 m_arr=0 ar_wr_en=0 ar_full=0 | ar_empty=1 s_arv=0 s_arr=1 ar_rd_en=0 | dbg_ne=0 dbg_hold=0
T=475000 m_clk=1 s_clk=1 m_rst_n=0 s_rst_n=0 | m_arv=0 m_arr=0 ar_wr_en=0 ar_full=0 | ar_empty=1 s_arv=0 s_arr=1 ar_rd_en=0 | dbg_ne=0 dbg_hold=0
T=485000 m_clk=0 s_clk=1 m_rst_n=0 s_rst_n=0 | m_arv=0 m_arr=0 ar_wr_en=0 ar_full=0 | ar_empty=1 s_arv=0 s_arr=1 ar_rd_en=0 | dbg_ne=0 dbg_hold=0
T=495000 m_clk=0 s_clk=1 m_rst_n=0 s_rst_n=0 | m_arv=0 m_arr=0 ar_wr_en=0 ar_full=0 | ar_empty=1 s_arv=0 s_arr=1 ar_rd_en=0 | dbg_ne=0 dbg_hold=0
T=505000 m_clk=0 s_clk=1 m_rst_n=0 s_rst_n=0 | m_arv=0 m_arr=0 ar_wr_en=0 ar_full=0 | ar_empty=1 s_arv=0 s_arr=1 ar_rd_en=0 | dbg_ne=0 dbg_hold=0
T=515000 m_clk=0 s_clk=1 m_rst_n=0 s_rst_n=0 | m_arv=0 m_arr=0 ar_wr_en=0 ar_full=0 | ar_empty=1 s_arv=0 s_arr=1 ar_rd_en=0 | dbg_ne=0 dbg_hold=0
T=520000 m_clk=1 s_clk=0 m_rst_n=0 s_rst_n=0 | m_arv=0 m_arr=0 ar_wr_en=0 ar_full=0 | ar_empty=1 s_arv=0 s_arr=1 ar_rd_en=0 | dbg_ne=0 dbg_hold=0
T=525000 m_clk=1 s_clk=1 m_rst_n=0 s_rst_n=0 | m_arv=0 m_arr=0 ar_wr_en=0 ar_full=0 | ar_empty=1 s_arv=0 s_arr=1 ar_rd_en=0 | dbg_ne=0 dbg_hold=0
T=535000 m_clk=1 s_clk=1 m_rst_n=0 s_rst_n=0 | m_arv=0 m_arr=0 ar_wr_en=0 ar_full=0 | ar_empty=1 s_arv=0 s_arr=1 ar_rd_en=0 | dbg_ne=0 dbg_hold=0
T=545000 m_clk=1 s_clk=1 m_rst_n=0 s_rst_n=0 | m_arv=0 m_arr=0 ar_wr_en=0 ar_full=0 | ar_empty=1 s_arv=0 s_arr=1 ar_rd_en=0 | dbg_ne=0 dbg_hold=0
T=555000 m_clk=1 s_clk=1 m_rst_n=0 s_rst_n=0 | m_arv=0 m_arr=0 ar_wr_en=0 ar_full=0 | ar_empty=1 s_arv=0 s_arr=1 ar_rd_en=0 | dbg_ne=0 dbg_hold=0
T=565000 m_clk=0 s_clk=1 m_rst_n=0 s_rst_n=0 | m_arv=0 m_arr=0 ar_wr_en=0 ar_full=0 | ar_empty=1 s_arv=0 s_arr=1 ar_rd_en=0 | dbg_ne=0 dbg_hold=0
T=575000 m_clk=0 s_clk=1 m_rst_n=0 s_rst_n=0 | m_arv=0 m_arr=0 ar_wr_en=0 ar_full=0 | ar_empty=1 s_arv=0 s_arr=1 ar_rd_en=0 | dbg_ne=0 dbg_hold=0
T=585000 m_clk=0 s_clk=1 m_rst_n=0 s_rst_n=0 | m_arv=0 m_arr=0 ar_wr_en=0 ar_full=0 | ar_empty=1 s_arv=0 s_arr=1 ar_rd_en=0 | dbg_ne=0 dbg_hold=0
T=595000 m_clk=0 s_clk=1 m_rst_n=0 s_rst_n=0 | m_arv=0 m_arr=0 ar_wr_en=0 ar_full=0 | ar_empty=1 s_arv=0 s_arr=1 ar_rd_en=0 | dbg_ne=0 dbg_hold=0
T=600000 m_clk=1 s_clk=0 m_rst_n=0 s_rst_n=0 | m_arv=0 m_arr=0 ar_wr_en=0 ar_full=0 | ar_empty=1 s_arv=0 s_arr=1 ar_rd_en=0 | dbg_ne=0 dbg_hold=0
T=605000 m_clk=1 s_clk=1 m_rst_n=0 s_rst_n=0 | m_arv=0 m_arr=0 ar_wr_en=0 ar_full=0 | ar_empty=1 s_arv=0 s_arr=1 ar_rd_en=0 | dbg_ne=0 dbg_hold=0
T=615000 m_clk=1 s_clk=1 m_rst_n=0 s_rst_n=0 | m_arv=0 m_arr=0 ar_wr_en=0 ar_full=0 | ar_empty=1 s_arv=0 s_arr=1 ar_rd_en=0 | dbg_ne=0 dbg_hold=0
T=625000 m_clk=1 s_clk=1 m_rst_n=0 s_rst_n=0 | m_arv=0 m_arr=0 ar_wr_en=0 ar_full=0 | ar_empty=1 s_arv=0 s_arr=1 ar_rd_en=0 | dbg_ne=0 dbg_hold=0
T=635000 m_clk=1 s_clk=1 m_rst_n=0 s_rst_n=0 | m_arv=0 m_arr=0 ar_wr_en=0 ar_full=0 | ar_empty=1 s_arv=0 s_arr=1 ar_rd_en=0 | dbg_ne=0 dbg_hold=0
T=645000 m_clk=0 s_clk=1 m_rst_n=0 s_rst_n=0 | m_arv=0 m_arr=0 ar_wr_en=0 ar_full=0 | ar_empty=1 s_arv=0 s_arr=1 ar_rd_en=0 | dbg_ne=0 dbg_hold=0
T=655000 m_clk=0 s_clk=1 m_rst_n=0 s_rst_n=0 | m_arv=0 m_arr=0 ar_wr_en=0 ar_full=0 | ar_empty=1 s_arv=0 s_arr=1 ar_rd_en=0 | dbg_ne=0 dbg_hold=0
T=665000 m_clk=0 s_clk=1 m_rst_n=0 s_rst_n=0 | m_arv=0 m_arr=0 ar_wr_en=0 ar_full=0 | ar_empty=1 s_arv=0 s_arr=1 ar_rd_en=0 | dbg_ne=0 dbg_hold=0
T=675000 m_clk=0 s_clk=1 m_rst_n=0 s_rst_n=0 | m_arv=0 m_arr=0 ar_wr_en=0 ar_full=0 | ar_empty=1 s_arv=0 s_arr=1 ar_rd_en=0 | dbg_ne=0 dbg_hold=0
T=680000 m_clk=1 s_clk=0 m_rst_n=0 s_rst_n=0 | m_arv=0 m_arr=0 ar_wr_en=0 ar_full=0 | ar_empty=1 s_arv=0 s_arr=1 ar_rd_en=0 | dbg_ne=0 dbg_hold=0
T=685000 m_clk=1 s_clk=1 m_rst_n=0 s_rst_n=0 | m_arv=0 m_arr=0 ar_wr_en=0 ar_full=0 | ar_empty=1 s_arv=0 s_arr=1 ar_rd_en=0 | dbg_ne=0 dbg_hold=0
T=695000 m_clk=1 s_clk=1 m_rst_n=0 s_rst_n=0 | m_arv=0 m_arr=0 ar_wr_en=0 ar_full=0 | ar_empty=1 s_arv=0 s_arr=1 ar_rd_en=0 | dbg_ne=0 dbg_hold=0
T=705000 m_clk=1 s_clk=1 m_rst_n=0 s_rst_n=0 | m_arv=0 m_arr=0 ar_wr_en=0 ar_full=0 | ar_empty=1 s_arv=0 s_arr=1 ar_rd_en=0 | dbg_ne=0 dbg_hold=0
T=715000 m_clk=1 s_clk=1 m_rst_n=0 s_rst_n=0 | m_arv=0 m_arr=0 ar_wr_en=0 ar_full=0 | ar_empty=1 s_arv=0 s_arr=1 ar_rd_en=0 | dbg_ne=0 dbg_hold=0
T=725000 m_clk=0 s_clk=1 m_rst_n=0 s_rst_n=0 | m_arv=0 m_arr=0 ar_wr_en=0 ar_full=0 | ar_empty=1 s_arv=0 s_arr=1 ar_rd_en=0 | dbg_ne=0 dbg_hold=0
T=735000 m_clk=0 s_clk=1 m_rst_n=0 s_rst_n=0 | m_arv=0 m_arr=0 ar_wr_en=0 ar_full=0 | ar_empty=1 s_arv=0 s_arr=1 ar_rd_en=0 | dbg_ne=0 dbg_hold=0
T=745000 m_clk=0 s_clk=1 m_rst_n=0 s_rst_n=0 | m_arv=0 m_arr=0 ar_wr_en=0 ar_full=0 | ar_empty=1 s_arv=0 s_arr=1 ar_rd_en=0 | dbg_ne=0 dbg_hold=0
T=755000 m_clk=0 s_clk=1 m_rst_n=0 s_rst_n=0 | m_arv=0 m_arr=0 ar_wr_en=0 ar_full=0 | ar_empty=1 s_arv=0 s_arr=1 ar_rd_en=0 | dbg_ne=0 dbg_hold=0
T=760000 m_clk=1 s_clk=0 m_rst_n=0 s_rst_n=0 | m_arv=0 m_arr=0 ar_wr_en=0 ar_full=0 | ar_empty=1 s_arv=0 s_arr=1 ar_rd_en=0 | dbg_ne=0 dbg_hold=0
T=765000 m_clk=1 s_clk=1 m_rst_n=0 s_rst_n=0 | m_arv=0 m_arr=0 ar_wr_en=0 ar_full=0 | ar_empty=1 s_arv=0 s_arr=1 ar_rd_en=0 | dbg_ne=0 dbg_hold=0
T=775000 m_clk=1 s_clk=1 m_rst_n=0 s_rst_n=0 | m_arv=0 m_arr=0 ar_wr_en=0 ar_full=0 | ar_empty=1 s_arv=0 s_arr=1 ar_rd_en=0 | dbg_ne=0 dbg_hold=0
T=785000 m_clk=1 s_clk=1 m_rst_n=0 s_rst_n=0 | m_arv=0 m_arr=0 ar_wr_en=0 ar_full=0 | ar_empty=1 s_arv=0 s_arr=1 ar_rd_en=0 | dbg_ne=0 dbg_hold=0
T=795000 m_clk=1 s_clk=1 m_rst_n=0 s_rst_n=0 | m_arv=0 m_arr=0 ar_wr_en=0 ar_full=0 | ar_empty=1 s_arv=0 s_arr=1 ar_rd_en=0 | dbg_ne=0 dbg_hold=0
T=805000 m_clk=0 s_clk=1 m_rst_n=0 s_rst_n=0 | m_arv=0 m_arr=0 ar_wr_en=0 ar_full=0 | ar_empty=1 s_arv=0 s_arr=1 ar_rd_en=0 | dbg_ne=0 dbg_hold=0
T=815000 m_clk=0 s_clk=1 m_rst_n=0 s_rst_n=0 | m_arv=0 m_arr=0 ar_wr_en=0 ar_full=0 | ar_empty=1 s_arv=0 s_arr=1 ar_rd_en=0 | dbg_ne=0 dbg_hold=0
T=825000 m_clk=0 s_clk=1 m_rst_n=0 s_rst_n=0 | m_arv=0 m_arr=0 ar_wr_en=0 ar_full=0 | ar_empty=1 s_arv=0 s_arr=1 ar_rd_en=0 | dbg_ne=0 dbg_hold=0
T=835000 m_clk=0 s_clk=1 m_rst_n=0 s_rst_n=0 | m_arv=0 m_arr=0 ar_wr_en=0 ar_full=0 | ar_empty=1 s_arv=0 s_arr=1 ar_rd_en=0 | dbg_ne=0 dbg_hold=0
T=840000 m_clk=1 s_clk=0 m_rst_n=0 s_rst_n=0 | m_arv=0 m_arr=0 ar_wr_en=0 ar_full=0 | ar_empty=1 s_arv=0 s_arr=1 ar_rd_en=0 | dbg_ne=0 dbg_hold=0
T=845000 m_clk=1 s_clk=1 m_rst_n=0 s_rst_n=0 | m_arv=0 m_arr=0 ar_wr_en=0 ar_full=0 | ar_empty=1 s_arv=0 s_arr=1 ar_rd_en=0 | dbg_ne=0 dbg_hold=0
T=855000 m_clk=1 s_clk=1 m_rst_n=0 s_rst_n=0 | m_arv=0 m_arr=0 ar_wr_en=0 ar_full=0 | ar_empty=1 s_arv=0 s_arr=1 ar_rd_en=0 | dbg_ne=0 dbg_hold=0
T=865000 m_clk=1 s_clk=1 m_rst_n=0 s_rst_n=0 | m_arv=0 m_arr=0 ar_wr_en=0 ar_full=0 | ar_empty=1 s_arv=0 s_arr=1 ar_rd_en=0 | dbg_ne=0 dbg_hold=0
T=875000 m_clk=1 s_clk=1 m_rst_n=0 s_rst_n=0 | m_arv=0 m_arr=0 ar_wr_en=0 ar_full=0 | ar_empty=1 s_arv=0 s_arr=1 ar_rd_en=0 | dbg_ne=0 dbg_hold=0
T=885000 m_clk=0 s_clk=1 m_rst_n=0 s_rst_n=0 | m_arv=0 m_arr=0 ar_wr_en=0 ar_full=0 | ar_empty=1 s_arv=0 s_arr=1 ar_rd_en=0 | dbg_ne=0 dbg_hold=0
T=895000 m_clk=0 s_clk=1 m_rst_n=0 s_rst_n=0 | m_arv=0 m_arr=0 ar_wr_en=0 ar_full=0 | ar_empty=1 s_arv=0 s_arr=1 ar_rd_en=0 | dbg_ne=0 dbg_hold=0
T=905000 m_clk=0 s_clk=1 m_rst_n=0 s_rst_n=0 | m_arv=0 m_arr=0 ar_wr_en=0 ar_full=0 | ar_empty=1 s_arv=0 s_arr=1 ar_rd_en=0 | dbg_ne=0 dbg_hold=0
T=915000 m_clk=0 s_clk=1 m_rst_n=0 s_rst_n=0 | m_arv=0 m_arr=0 ar_wr_en=0 ar_full=0 | ar_empty=1 s_arv=0 s_arr=1 ar_rd_en=0 | dbg_ne=0 dbg_hold=0
T=920000 m_clk=1 s_clk=0 m_rst_n=0 s_rst_n=0 | m_arv=0 m_arr=0 ar_wr_en=0 ar_full=0 | ar_empty=1 s_arv=0 s_arr=1 ar_rd_en=0 | dbg_ne=0 dbg_hold=0
T=925000 m_clk=1 s_clk=1 m_rst_n=0 s_rst_n=0 | m_arv=0 m_arr=0 ar_wr_en=0 ar_full=0 | ar_empty=1 s_arv=0 s_arr=1 ar_rd_en=0 | dbg_ne=0 dbg_hold=0
T=935000 m_clk=1 s_clk=1 m_rst_n=0 s_rst_n=0 | m_arv=0 m_arr=0 ar_wr_en=0 ar_full=0 | ar_empty=1 s_arv=0 s_arr=1 ar_rd_en=0 | dbg_ne=0 dbg_hold=0
T=945000 m_clk=1 s_clk=1 m_rst_n=0 s_rst_n=0 | m_arv=0 m_arr=0 ar_wr_en=0 ar_full=0 | ar_empty=1 s_arv=0 s_arr=1 ar_rd_en=0 | dbg_ne=0 dbg_hold=0
T=955000 m_clk=1 s_clk=1 m_rst_n=0 s_rst_n=0 | m_arv=0 m_arr=0 ar_wr_en=0 ar_full=0 | ar_empty=1 s_arv=0 s_arr=1 ar_rd_en=0 | dbg_ne=0 dbg_hold=0
